year,gender,insomnia_freq,sleep_cat,awakenings_freq,sleep_quality_cat,concentration_freq,fatigue_freq,skip_classes_freq,deadline_impact_cat,screen_freq_cat,caffeine_freq_cat,activity_freq_cat,stress_cat,performance_cat,screen_freq,sleep_hours,sleep_ord,caffeine,activity,stress,sleep_quality,insomnia,awakenings,concentration,fatigue,skip_classes,deadline_impact,performance
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,4,4,4,5,5,5,3,4,4,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,4,5,5,5,5,5,5,1
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,5,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,5,5,5,1
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,8.5,5,5,5,4,5,5,5,5,5,4,5,2
Graduate student,Female,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,7.5,4,4,5,4,4,5,5,4,4,4,5,2
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,5,8.5,5,4,5,3,5,5,4,4,4,4,4,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,5,4,5,4,5,5,4,1
Third year,Female,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,5,5,5,4,5,5,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,4,4,5,5,5,5,1
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,5,5,5,5,5,1
Third year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,4,5,5,4,5,5,4,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,5,7.5,4,5,5,3,5,4,4,5,4,5,5,1
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,5,4,4,4,5,4,4,4,5,5,2
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,5,5,5,5,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,4,4,4,4,5,5,4,5,5,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,5,4,5,5,5,4,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,5,5,5,5,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,7.5,4,4,4,3,5,4,5,4,5,4,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,5,8.5,5,3,4,3,5,4,5,4,4,5,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,5,4,5,4,5,4,4,2
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,4,8.5,5,5,4,3,5,5,5,4,5,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,5,4,4,4,5,5,5,5,4,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,4,8.5,5,5,5,3,5,5,5,4,5,4,4,1
Third year,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Below Average,5,7.5,4,5,5,3,5,5,5,5,5,4,5,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,7.5,4,4,5,4,4,4,5,4,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,High stress,Poor,5,8.5,5,5,5,3,5,5,5,5,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,4,5,5,5,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,5,8.5,5,5,5,3,5,5,4,5,4,5,5,1
Third year,Male,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,7.5,4,5,5,4,5,5,5,4,4,4,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,5,5,5,3,4,4,4,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,7.5,4,4,5,4,5,5,5,4,5,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,4,5,5,5,4,5,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,4,5,4,5,5,5,5,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Average,5,7.5,4,5,4,4,5,5,5,5,4,5,5,3
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,5,5,5,5,5,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,4,5,5,5,4,4,5,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,4,5,4,5,5,5,5,1
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,4,8.5,5,4,4,3,5,5,5,4,4,4,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,5,5,5,5,5,4,5,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,7.5,4,5,4,4,5,5,5,5,5,4,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,4,5,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,8.5,5,5,5,4,5,5,4,5,5,5,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,4,5,5,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,4,5,5,5,5,1
Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,4,5,5,5,5,5,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,5,5,5,4,5,5,5,1
Graduate student,Female,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,High stress,Poor,5,7.5,4,4,5,3,5,5,4,5,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,5,5,4,4,4,4,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,5,5,5,4,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,5,5,5,5,5,4,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,7.5,4,5,4,4,5,4,4,5,4,4,5,2
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,4,5,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,4,4,4,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,4,5,5,5,4,5,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,8.5,5,4,5,4,4,4,4,5,5,4,5,2
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,7.5,4,4,5,4,5,5,5,4,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,5,5,5,1
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,3,7.5,4,4,5,4,5,5,4,5,5,5,5,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,7.5,4,4,5,4,4,5,4,5,5,4,4,1
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,5,8.5,5,4,4,3,5,5,5,5,5,5,5,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Average,4,7.5,4,5,5,4,5,5,5,5,5,4,5,3
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,7.5,4,5,5,4,5,5,5,3,5,5,5,1
Third year,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,5,5,4,5,5,5,4,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Major impact,Every night,Every day,Every day,Extremely high stress,Poor,5,7.5,4,5,5,4,5,5,4,5,5,4,4,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Average,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,3,4,5,5,5,5,4,1
Third year,Female,Every night,More than 8 hours,Every night,Very good,Always,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,8.5,5,5,5,4,5,5,5,5,5,4,5,2
Third year,Female,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,7.5,4,4,5,4,5,4,5,5,4,4,4,1
Graduate student,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,4,5,5,4,5,4,5,2
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,4,5,4,4,5,5,5,2
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,4,4,4,5,4,4,5,4,5,5,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,5,7.5,4,5,5,3,5,5,5,5,5,5,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,High stress,Poor,5,7.5,4,5,5,3,5,4,4,4,5,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,8.5,5,5,5,4,5,5,5,5,5,5,5,2
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Every day,Extremely high stress,Poor,5,7.5,4,5,5,4,5,5,5,4,5,5,4,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,7.5,4,5,5,4,5,5,5,3,4,5,5,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,5,4,5,5,5,5,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,7.5,4,4,5,4,5,4,5,5,5,5,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Always,Often,Always,Severe impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,4,7.5,4,5,4,3,4,4,5,5,4,5,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,High stress,Poor,4,8.5,5,5,5,3,4,4,5,5,5,4,4,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,8.5,5,5,5,4,4,5,4,5,4,4,4,2
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,7.5,4,4,5,4,5,5,5,4,5,4,5,1
Graduate student,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,6.5,3,5,5,4,4,4,4,4,4,4,5,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,5,5,5,4,5,5,5,1
Graduate student,Male,Every night,6-7 hours,Often (5-6 times a week),Good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,6.5,3,5,5,4,4,5,4,4,5,5,5,1
First year,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Below Average,5,7.5,4,5,5,4,5,5,5,4,5,5,5,2
Third year,Male,Every night,More than 8 hours,Every night,Very good,Often,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,5,5,5,4,5,5,5,1
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,8.5,5,5,5,4,5,5,4,5,5,5,5,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Often (3-4 times a week),Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,4,4,5,5,4,5,1
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Very good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,4,4,4,5,5,4,5,4,5,5,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,8.5,5,4,5,4,4,5,5,4,5,5,5,1
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Often,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Poor,5,8.5,5,5,5,4,5,5,5,5,4,5,5,1
Third year,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,5,4,4,4,5,5,5,5,3,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,8.5,5,4,5,4,5,5,5,5,5,5,5,2
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),High stress,Poor,5,7.5,4,5,4,3,5,4,5,4,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,5,4,4,4,5,5,5,5,5,4,2
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,5,5,5,3,4,3,4,1
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Good,5,7.5,4,4,4,4,5,5,4,4,5,5,3,4
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Average,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,3,5,4,4,5,4,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Below Average,5,8.5,5,5,4,4,5,4,4,4,4,4,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,8.5,5,4,4,4,4,5,5,4,5,4,5,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,5,8.5,5,4,4,4,5,4,4,5,5,5,4,1
Third year,Male,Every night,6-7 hours,Every night,Very good,Often,Always,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,6.5,3,4,5,4,5,5,5,4,5,4,5,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Severe impact,Often (5-6 times a week),Every day,Every day,High stress,Below Average,4,7.5,4,5,5,3,5,4,4,4,4,5,5,2
Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Poor,5,7.5,4,4,5,4,5,5,5,3,4,4,5,1
Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,5,4,4,4,3,5,4,2
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Every day,Extremely high stress,Poor,3,8.5,5,5,5,4,5,4,4,3,4,5,5,1
Second year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,4,3,4,4,4,4,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Poor,4,8.5,5,4,5,4,5,5,5,5,5,5,5,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,8.5,5,4,5,4,4,4,4,4,4,5,4,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,5,4,4,5,4,4,4,2
Second year,Male,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,4,3,3,5,4,4,2
Graduate student,Male,Every night,More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,8.5,5,4,3,3,4,5,4,4,4,4,4,2
Graduate student,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,7.5,4,5,5,4,4,5,5,4,4,4,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Severe impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,4,4,5,4,4,5,5,1
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Always,Severe impact,Every night,Often (5-6 times a week),Every day,Extremely high stress,Below Average,5,7.5,4,4,5,4,4,5,4,5,4,5,5,2
Graduate student,Male,Every night,7-8 hours,Every night,Good,Always,Always,Always,Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,7.5,4,5,5,4,4,5,5,5,5,5,5,1
Third year,Female,Every night,7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Every night,Every day,Often (5-6 times a week),High stress,Average,5,7.5,4,5,4,3,5,5,5,4,4,4,4,3
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,4,3,3,4,4,4,5,4,3,3,2
Second year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,4,5,4,4,4,3,4,2
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Below Average,4,7.5,4,5,5,4,5,4,5,4,4,4,5,2
